Province,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Beijing,5814.58 ,6580.60 ,7293.76 ,8064.20 ,9706.36 ,10571.84 ,11455.06 ,12481.26 ,13597.98 ,14769.70 ,5810.58 ,6213.63 ,7860.41 ,7804.82 ,11584.98 ,11488.07 ,12998.04 ,14048.41 ,14618.44 ,16120.30 ,5669.10 ,5727.87 ,8115.33 ,8344.68 ,10543.65 ,11787.70 ,12498.28 ,12784.82 ,14384.96 ,18383.92 ,5399.12 ,5298.00 ,9927.17 ,8301.21 ,10570.72 ,11691.20 ,13937.08 ,11119.04 ,14876.19 ,18725.08 ,4824.00 ,5275.82 ,10858.98 ,8775.32 ,10715.74 ,11963.66 ,11472.27 ,10292.84 ,15685.35 ,19636.65 ,5735.88 ,5566.54 ,11217.26 ,9041.43 ,9694.68 ,8273.52 ,11519.84 ,10808.91 ,15524.63 ,21007.46 ,5081.26 ,5851.88 ,11212.55 ,9784.94 ,10357.08 ,8192.56 ,10170.37 ,11991.70 ,14746.63 ,18253.00 ,4268.22 ,5697.63 ,10621.43 ,10436.86 ,8800.38 ,7102.97 ,10564.50 ,12010.82 ,14769.24 ,17320.78 ,4208.91 ,5931.41 ,10761.73 ,10922.06 ,10239.09 ,7191.19 ,9804.22 ,10805.34 ,12531.14 ,17536.20 ,3964.14 ,5681.69 ,9952.60 ,10299.40 ,10293.00 ,8504.76 ,10732.84 ,10400.96 ,12003.25 ,15791.62 ,3352.69 ,5640.94 ,11561.40 ,9576.25 ,12562.88 ,9546.62 ,10101.94 ,11063.25 ,12027.42 ,17412.08 ,3084.00 ,6253.80 ,11734.40 ,10866.63 ,12101.73 ,9131.69 ,8765.21 ,12070.66 ,13337.05 ,14889.30 
Tianjin,4858.52 ,5384.18 ,5925.28 ,6458.72 ,6301.20 ,6820.26 ,7421.92 ,8055.50 ,8595.26 ,9223.78 ,4427.50 ,4314.50 ,6198.98 ,6942.94 ,5152.98 ,7890.47 ,6252.26 ,8174.53 ,8527.19 ,8139.16 ,4035.39 ,4133.19 ,6497.58 ,6998.99 ,4470.29 ,7804.89 ,5659.62 ,7774.80 ,6932.27 ,8761.76 ,3826.30 ,3775.36 ,6422.65 ,7782.80 ,4279.13 ,8498.48 ,5134.83 ,9454.61 ,6991.22 ,9387.99 ,3733.65 ,3301.50 ,6637.65 ,8214.08 ,5050.58 ,9955.64 ,5820.49 ,10206.30 ,7548.37 ,11814.45 ,4224.66 ,2852.33 ,7355.81 ,7762.84 ,5380.26 ,11067.25 ,5440.43 ,9334.04 ,7255.92 ,11480.01 ,4387.82 ,2572.07 ,6774.68 ,7642.91 ,5006.10 ,9724.11 ,4117.03 ,9999.12 ,8738.03 ,12995.32 ,3838.98 ,2453.33 ,6739.64 ,7926.70 ,4720.21 ,9406.62 ,3794.11 ,8420.05 ,9738.84 ,12291.86 ,4887.02 ,2829.08 ,6342.47 ,8111.03 ,5152.72 ,9176.00 ,4079.18 ,8064.85 ,9066.61 ,13437.46 ,5502.57 ,2376.14 ,6347.69 ,7793.65 ,5795.28 ,8684.40 ,3462.10 ,7242.48 ,9342.33 ,12938.63 ,5462.57 ,2427.75 ,7795.74 ,8524.21 ,6297.00 ,7984.96 ,3885.78 ,7561.95 ,9475.64 ,13135.25 ,6669.77 ,2299.29 ,6638.17 ,8751.36 ,6620.59 ,7575.88 ,3598.46 ,7579.94 ,9943.13 ,13794.83 
Shanxi,3286.59 ,3837.13 ,4301.50 ,4774.66 ,5153.67 ,5545.35 ,5926.43 ,6293.87 ,6734.44 ,7272.36 ,2883.70 ,3387.35 ,3872.18 ,4263.27 ,4608.60 ,4954.24 ,5254.57 ,5596.11 ,5982.25 ,6450.40 ,3310.27 ,3924.44 ,4214.16 ,4622.93 ,4965.03 ,5282.79 ,5560.25 ,5916.10 ,6294.73 ,6716.48 ,3135.06 ,3685.87 ,4127.82 ,4536.47 ,4913.00 ,5281.48 ,5618.75 ,6012.07 ,6404.79 ,6885.26 ,3237.38 ,3754.91 ,4204.81 ,4625.29 ,4981.44 ,5330.14 ,5644.62 ,6028.45 ,6432.36 ,6925.31 ,3269.89 ,3778.11 ,4346.85 ,4777.19 ,5145.04 ,5500.04 ,5797.82 ,6197.87 ,6569.74 ,7020.00 ,3263.81 ,3789.32 ,4292.74 ,4717.72 ,5130.43 ,5504.95 ,5829.74 ,6185.36 ,6589.41 ,7037.49 ,2806.39 ,3255.77 ,3690.42 ,4081.60 ,4445.27 ,4809.78 ,5127.23 ,5460.50 ,5820.89 ,6248.12 ,2791.51 ,3208.26 ,3642.58 ,4003.20 ,4346.91 ,4690.32 ,4997.44 ,5307.28 ,5668.18 ,6075.02 ,2976.00 ,3488.32 ,3956.53 ,4364.06 ,4721.91 ,5099.66 ,5417.06 ,5774.59 ,6138.39 ,6578.98 ,2780.22 ,3171.38 ,3640.58 ,4001.00 ,4297.07 ,4580.68 ,4836.10 ,5140.77 ,5464.64 ,5836.24 ,2780.22 ,3171.38 ,3640.58 ,4001.00 ,4297.07 ,4580.68 ,4836.10 ,5140.77 ,5464.64 ,5836.24 
Jiangsu,5476.60 ,6220.00 ,7018.40 ,7706.20 ,8513.60 ,9220.80 ,9999.40 ,10907.60 ,11861.60 ,12874.40 ,5550.00 ,6327.60 ,7132.60 ,7799.80 ,8346.20 ,9025.80 ,9725.60 ,10531.80 ,11397.80 ,12383.00 ,3352.40 ,3841.20 ,4343.20 ,4754.00 ,4816.00 ,5243.80 ,5684.20 ,6197.40 ,6717.20 ,7243.00 ,5175.00 ,5911.80 ,6665.20 ,7322.20 ,7896.60 ,8542.00 ,9211.60 ,9991.00 ,10800.00 ,11669.00 ,6073.20 ,6923.40 ,7815.80 ,8549.60 ,9335.40 ,10078.00 ,10868.20 ,11761.20 ,12696.20 ,13725.80 ,4365.00 ,5018.80 ,5658.40 ,6211.80 ,6674.80 ,7258.20 ,7849.40 ,8551.20 ,9264.20 ,10043.40 ,3158.00 ,3696.60 ,4163.20 ,4597.00 ,4719.00 ,5145.60 ,5570.60 ,6058.60 ,6549.80 ,7078.00 ,3196.60 ,3702.00 ,4190.00 ,4621.40 ,5159.60 ,5621.00 ,6067.00 ,6595.20 ,7165.60 ,7790.40 ,3387.00 ,3882.80 ,4388.20 ,4823.80 ,5170.80 ,5640.00 ,6099.20 ,6623.00 ,7179.20 ,7763.20 ,3907.40 ,4567.00 ,5142.40 ,5629.00 ,6064.40 ,6589.20 ,7131.80 ,7765.60 ,8399.80 ,9110.00 ,4644.80 ,5327.40 ,6009.00 ,6595.40 ,7150.40 ,7733.20 ,8358.80 ,9077.20 ,9780.60 ,10542.60 ,4051.00 ,4719.40 ,5314.80 ,5822.40 ,6269.20 ,6818.40 ,7365.60 ,8011.80 ,8690.40 ,9443.20 
Zhejiang,5827.80 ,6486.80 ,7140.80 ,8185.00 ,8926.40 ,9663.20 ,10437.00 ,11255.20 ,12234.40 ,13213.60 ,5995.40 ,6864.20 ,7608.60 ,8085.20 ,8831.00 ,9570.40 ,10312.00 ,11131.20 ,12026.80 ,12977.20 ,5450.00 ,6349.80 ,6964.00 ,7453.20 ,8102.00 ,8805.20 ,9557.00 ,10373.20 ,11219.40 ,12191.40 ,5497.40 ,6304.00 ,7139.20 ,7734.20 ,8428.60 ,9099.80 ,9785.20 ,10611.40 ,11487.40 ,12388.00 ,5145.80 ,5873.40 ,6597.40 ,7150.00 ,7791.80 ,8447.60 ,9158.80 ,9986.80 ,10878.60 ,11805.60 ,6032.80 ,6654.60 ,7382.20 ,7913.40 ,8633.40 ,9349.40 ,10061.00 ,10889.00 ,11809.80 ,12787.00 ,5005.80 ,5945.80 ,6632.80 ,7277.20 ,7961.40 ,8638.60 ,9310.80 ,10130.60 ,10976.60 ,11869.60 ,4362.20 ,4980.00 ,5246.40 ,5596.20 ,6116.60 ,6642.40 ,7237.60 ,7915.40 ,8625.20 ,9386.60 ,5248.40 ,6099.20 ,6844.80 ,7559.80 ,8293.20 ,8969.00 ,9684.60 ,10503.20 ,11324.40 ,12295.80 ,5442.40 ,6098.00 ,6795.80 ,7296.00 ,7952.60 ,8653.20 ,9432.40 ,10274.80 ,11141.00 ,12070.20 ,4218.60 ,4678.20 ,5261.80 ,5601.00 ,6082.60 ,6575.00 ,7193.60 ,7799.20 ,8511.40 ,9287.40 ,4218.60 ,4678.20 ,5261.80 ,5601.00 ,6082.60 ,6575.00 ,7193.60 ,7799.20 ,8511.40 ,9287.40 
Anhui,3810.10 ,4491.78 ,5086.83 ,5616.55 ,5869.60 ,6397.80 ,6970.40 ,7594.40 ,8296.80 ,9080.80 ,3225.92 ,4202.13 ,4756.82 ,5252.83 ,5476.80 ,5953.20 ,6463.00 ,7035.00 ,7679.40 ,8412.80 ,3075.18 ,3628.66 ,4125.78 ,4547.79 ,4829.40 ,5273.80 ,5730.60 ,6232.00 ,6771.00 ,7405.60 ,3075.37 ,3643.79 ,4146.64 ,4583.92 ,5253.40 ,5621.20 ,5619.60 ,6081.00 ,6570.40 ,7165.20 ,4631.74 ,5465.88 ,6187.38 ,6809.61 ,6512.00 ,7052.40 ,7628.40 ,8280.60 ,9021.60 ,9802.00 ,3038.14 ,3575.10 ,4072.04 ,4492.08 ,4757.40 ,5138.00 ,5449.60 ,5915.60 ,6391.80 ,6945.40 ,3737.95 ,4365.08 ,4936.90 ,5430.88 ,5846.80 ,6349.60 ,6126.60 ,6656.60 ,7199.00 ,7851.20 ,3029.34 ,3600.95 ,4090.68 ,4536.62 ,4421.80 ,4793.20 ,5300.40 ,5735.00 ,6237.40 ,6808.20 ,3166.83 ,3733.80 ,4241.60 ,4671.13 ,4838.80 ,5245.20 ,5678.60 ,6164.20 ,6710.20 ,7331.60 ,3020.72 ,3583.55 ,4085.25 ,4518.27 ,4418.20 ,4833.60 ,5257.20 ,5722.40 ,6246.00 ,6818.20 ,2796.26 ,3337.20 ,3794.40 ,4186.62 ,4343.00 ,4699.20 ,5096.60 ,5542.60 ,6022.60 ,6568.80 ,2933.77 ,3512.52 ,3946.24 ,4342.50 ,4388.20 ,4726.00 ,5106.60 ,5540.60 ,6020.00 ,6528.60 
Fujian,4544.60 ,5210.00 ,5879.80 ,6453.00 ,6490.17 ,6996.40 ,7566.60 ,8194.60 ,8891.40 ,9584.00 ,5850.60 ,6713.00 ,7515.20 ,8272.00 ,7925.02 ,8521.40 ,9250.80 ,10003.80 ,10880.20 ,11803.60 ,3813.60 ,4368.60 ,4938.00 ,5446.60 ,5374.17 ,5854.40 ,6363.60 ,6898.00 ,7433.80 ,8013.00 ,3638.80 ,4155.60 ,4685.80 ,5144.80 ,5039.41 ,5478.60 ,5935.40 ,6452.20 ,6972.40 ,7588.40 ,5031.00 ,5740.60 ,6456.60 ,7086.00 ,6837.90 ,7455.00 ,7931.20 ,8539.20 ,9222.20 ,9918.40 ,3696.40 ,4227.40 ,4790.20 ,5294.20 ,5148.28 ,5618.40 ,6145.20 ,6671.80 ,7199.40 ,7795.00 ,3466.40 ,3947.00 ,4447.00 ,4863.60 ,4814.86 ,5224.00 ,5563.60 ,6014.00 ,6496.80 ,7029.60 ,3681.20 ,4217.00 ,4753.00 ,5256.20 ,5230.61 ,5643.60 ,6081.60 ,6604.40 ,7151.80 ,7763.00 ,3363.00 ,3862.80 ,4365.00 ,4790.20 ,4791.27 ,5205.80 ,5632.80 ,6100.40 ,6584.20 ,7177.40 ,5097.25 ,6106.04 ,5711.97 ,6165.17 ,6286.77 ,7829.71 ,7799.08 ,7275.10 ,9252.41 ,10066.20 ,6367.29 ,5342.84 ,7691.90 ,6995.90 ,8634.47 ,8487.55 ,9069.09 ,8440.83 ,12244.17 ,12689.99 ,3541.24 ,4335.29 ,4621.92 ,5557.13 ,5772.98 ,6272.92 ,6301.68 ,6200.58 ,6971.63 ,9109.52 
Jiangxi,3655.20 ,4148.24 ,4720.48 ,5233.00 ,5818.20 ,6388.40 ,6923.80 ,7535.00 ,8168.80 ,8827.20 ,3331.40 ,3792.87 ,4324.27 ,4798.20 ,5325.00 ,5820.20 ,6283.60 ,6856.60 ,7436.60 ,8028.60 ,3276.20 ,3729.27 ,4251.44 ,4699.20 ,5203.80 ,5667.00 ,6126.00 ,6624.00 ,7152.60 ,7700.40 ,3152.80 ,3582.15 ,4066.08 ,4500.80 ,5015.40 ,5527.00 ,6002.20 ,6518.40 ,7053.00 ,7615.20 ,3471.60 ,3943.84 ,4494.06 ,4950.20 ,5525.20 ,5967.20 ,6432.60 ,6955.00 ,7518.40 ,8122.00 ,3123.60 ,3503.57 ,3976.53 ,4418.00 ,4918.20 ,5390.40 ,5823.20 ,6339.20 ,6852.60 ,7430.20 ,2840.60 ,3211.54 ,3740.85 ,4113.20 ,4587.00 ,5000.20 ,5417.20 ,5913.40 ,6432.60 ,6965.20 ,3109.40 ,3538.46 ,4026.74 ,4455.60 ,4959.40 ,5415.60 ,5861.40 ,6387.20 ,6938.40 ,7508.60 ,2866.60 ,3286.29 ,3779.17 ,4174.20 ,4644.20 ,5076.20 ,5490.40 ,5974.20 ,6449.60 ,6966.20 ,2889.00 ,3326.68 ,3786.49 ,4167.00 ,4620.20 ,5013.00 ,5439.00 ,5892.60 ,6395.20 ,6903.60 ,3107.00 ,3539.63 ,4035.48 ,4439.00 ,4931.20 ,5384.80 ,5830.60 ,6370.60 ,6931.20 ,7491.20 ,3107.00 ,3539.63 ,4035.48 ,4439.00 ,4931.20 ,5384.80 ,5830.60 ,6370.60 ,6931.20 ,7491.20 
Shandong,5064.21 ,5778.39 ,6514.00 ,7129.60 ,7752.55 ,7977.80 ,8610.43 ,9328.40 ,10029.20 ,10382.60 ,4999.63 ,5713.50 ,6429.00 ,7045.40 ,7658.80 ,8074.00 ,8719.60 ,9435.20 ,10163.40 ,10896.80 ,4356.76 ,4991.08 ,5637.80 ,6177.80 ,6706.80 ,6758.60 ,7287.26 ,7882.00 ,8455.40 ,9047.40 ,4759.13 ,5468.53 ,6190.60 ,6796.60 ,7388.00 ,7747.00 ,8315.93 ,8952.60 ,9582.40 ,10225.60 ,4657.66 ,5308.35 ,6009.00 ,6591.20 ,7158.28 ,7181.40 ,7748.79 ,8367.40 ,8975.00 ,9595.40 ,3935.01 ,4501.63 ,5163.40 ,5677.20 ,6194.63 ,6212.00 ,6721.77 ,7257.20 ,7808.40 ,8332.80 ,3965.29 ,4481.11 ,5090.80 ,5591.20 ,6085.53 ,5577.40 ,5997.36 ,6484.00 ,6959.20 ,7427.80 ,3990.69 ,4537.43 ,5131.80 ,5640.20 ,6142.93 ,5626.40 ,6059.88 ,6547.80 ,7039.20 ,7539.00 ,4447.05 ,5058.05 ,5726.00 ,6288.40 ,6850.84 ,7267.20 ,7872.64 ,8540.60 ,9179.20 ,9808.80 ,3511.65 ,4019.58 ,4563.40 ,5018.00 ,5508.06 ,5243.40 ,5668.09 ,6158.00 ,6656.00 ,7146.40 ,4197.53 ,4701.77 ,5317.80 ,5835.80 ,6345.60 ,6043.80 ,6472.84 ,6977.80 ,7480.20 ,7480.20 ,4207.60 ,4846.31 ,5524.80 ,6063.40 ,6605.17 ,5725.40 ,6171.89 ,6653.20 ,7145.40 ,7582.40 
